update,total_loss,policy_loss,value_loss,entropy
819,-0.0053,-0.0006,0.0101,0.9794
820,-0.0048,0.0004,0.0092,0.9817
821,-0.0056,0.0001,0.0082,0.9786
822,-0.0059,0.0002,0.0073,0.9819
823,-0.0072,0.0007,0.0037,0.979
824,-0.0083,-0.0002,0.0034,0.9804
825,-0.0062,0.0001,0.007,0.9794
826,-0.0067,0.0005,0.0056,1.0002
827,-0.0076,0.0006,0.0036,0.9974
828,0.0007,0.0003,0.0206,0.9938
829,-0.0043,-0.0001,0.0113,0.9876
830,-0.0009,0.0001,0.0177,0.9805
831,-0.0057,0.001,0.0061,0.9814
832,-0.0078,-0.0007,0.0053,0.9707
833,-0.0052,-0.0001,0.0093,0.9737
834,-0.0054,-0.0003,0.0092,0.9664
835,-0.0074,0.0002,0.004,0.9608
836,0.003,-0.0007,0.0268,0.963
837,-0.0041,0.0,0.0116,0.9869
838,-0.0083,0.0002,0.0027,0.9796
839,0.0036,0.0001,0.0264,0.9704
840,0.0012,-0.0,0.0216,0.9613
841,0.0111,0.0005,0.0403,0.9585
842,-0.0029,0.0005,0.0125,0.9601
843,-0.0026,-0.0006,0.0153,0.961
844,-0.0084,-0.0007,0.0039,0.9607
845,-0.0073,0.0002,0.0041,0.9592
846,-0.0055,0.0001,0.0081,0.9648
847,0.0003,-0.0002,0.0203,0.9585
848,-0.0063,-0.0001,0.0071,0.9741
849,-0.0083,-0.0004,0.0037,0.9708
850,-0.0082,-0.0003,0.0035,0.9632
851,-0.0053,0.0001,0.0082,0.9585
852,-0.0066,0.0003,0.0052,0.9528
853,-0.0061,0.0001,0.0068,0.9568
854,0.0114,-0.0003,0.0425,0.9605
855,-0.0045,-0.0002,0.0108,0.9667
856,0.0323,0.0002,0.0835,0.9638
857,-0.0018,0.0002,0.0154,0.9715
858,-0.0062,0.0012,0.0043,0.9616
859,-0.0077,0.0002,0.0037,0.9778
860,-0.007,0.0002,0.0051,0.9792
861,0.0117,0.0002,0.0424,0.974
862,0.0055,0.0008,0.0291,0.9771
863,0.0065,-0.0002,0.0328,0.9697
864,0.0039,0.0002,0.0267,0.9708
865,-0.0016,0.0002,0.0158,0.9696
866,-0.0074,0.0,0.0045,0.9737
867,0.0023,-0.0004,0.0249,0.9745
868,-0.0015,-0.0008,0.0181,0.9737
869,-0.0077,0.0002,0.0036,0.9703
870,-0.0074,0.0005,0.0041,0.9895
871,-0.0073,-0.0002,0.0055,0.9891
872,-0.0079,-0.0002,0.0044,0.9904
873,-0.0079,-0.0011,0.0061,0.9834
874,-0.0042,-0.0,0.011,0.9665
875,0.0192,-0.0007,0.0595,0.9843
876,0.0002,-0.0001,0.0202,0.9831
877,0.0099,-0.0006,0.0407,0.9868
878,0.0069,0.0007,0.0319,0.9782
879,-0.0071,-0.0004,0.0061,0.9752
880,-0.0069,-0.0002,0.0063,0.9739
881,-0.0022,0.0001,0.0151,0.9842
882,-0.0083,-0.0001,0.0033,0.9814
883,0.0248,0.0001,0.0691,0.9844
884,0.013,0.0,0.0457,0.9883
885,-0.0012,0.0009,0.0151,0.9637
886,-0.0047,0.0002,0.0094,0.9602
887,0.0053,0.0002,0.0294,0.9618
888,-0.0036,-0.0,0.0122,0.9663
889,-0.0021,-0.0005,0.0159,0.9593
890,-0.0073,-0.0008,0.0062,0.958
891,0.0015,0.0006,0.0207,0.9546
892,0.0008,0.0,0.0211,0.9786
893,-0.0057,-0.0003,0.0087,0.9733
894,0.0038,0.0006,0.0256,0.9674
895,0.0065,-0.0002,0.0327,0.9715
896,0.0003,-0.0003,0.0205,0.9639
897,0.0277,-0.001,0.077,0.9755
898,0.0302,0.0003,0.0795,0.9815
899,0.0067,-0.0003,0.0338,0.9872
900,-0.0049,-0.0,0.0096,0.9635
901,0.02,0.0,0.0593,0.9709
902,0.0009,0.0003,0.0208,0.982
903,-0.0043,0.0005,0.01,0.9901
904,-0.0085,-0.0007,0.0041,0.9865
905,-0.0077,-0.0001,0.0043,0.9809
906,-0.0046,0.0003,0.0099,0.9819
907,0.0006,0.0002,0.0203,0.9718
908,0.0114,-0.0001,0.0425,0.9767
909,-0.0017,0.0001,0.0159,0.975
