update,total_loss,policy_loss,value_loss,entropy
120,-0.0266,-0.0138,0.0019,1.3757
121,-0.0161,-0.0051,0.0056,1.3766
122,-0.0123,-0.0023,0.0075,1.3757
123,-0.0062,-0.0002,0.0156,1.3763
124,-0.0068,-0.0062,0.0264,1.3771
125,-0.0009,-0.0004,0.0267,1.377
126,-0.0078,-0.0005,0.013,1.3767
127,-0.0151,-0.0058,0.0089,1.3757
128,-0.0095,-0.0005,0.0095,1.3752
129,0.0026,0.0011,0.0306,1.3746
130,-0.0124,-0.0008,0.0044,1.374
131,-0.0165,-0.0071,0.0087,1.3748
132,-0.0177,-0.0081,0.0083,1.3736
133,-0.0128,-0.0032,0.0082,1.3743
134,-0.0109,-0.0024,0.0105,1.3747
135,-0.0159,-0.0066,0.0089,1.3743
136,-0.0121,-0.0042,0.0116,1.3737
137,-0.0121,-0.0029,0.0089,1.3732
138,-0.0139,-0.0032,0.006,1.3732
139,-0.0007,-0.0024,0.031,1.3736
140,-0.0071,0.0041,0.0051,1.3737
141,-0.0116,-0.0066,0.0174,1.3736
142,-0.0138,-0.0025,0.005,1.3724
143,-0.0099,-0.0056,0.0188,1.3725
144,-0.0111,-0.0001,0.0055,1.3726
145,-0.0079,0.0015,0.0087,1.3728
146,-0.0162,-0.0056,0.0061,1.3729
147,-0.0014,0.0028,0.0189,1.3726
148,0.0038,0.0055,0.0241,1.3729
149,-0.0082,-0.0013,0.0136,1.3722
150,-0.0111,0.0006,0.004,1.3719
151,-0.0089,0.001,0.0078,1.3732
152,-0.0151,-0.0037,0.0046,1.3729
153,-0.0168,-0.0057,0.0054,1.3733
154,-0.0173,-0.0086,0.0101,1.3739
155,-0.008,-0.0024,0.0162,1.3749
156,0.0114,0.0018,0.0466,1.3757
157,0.0154,-0.0036,0.0656,1.3762
158,0.0039,0.0,0.0353,1.3754
159,-0.0055,-0.0019,0.0202,1.3747
160,-0.0191,-0.0075,0.0042,1.3746
161,-0.0072,-0.001,0.015,1.3744
162,-0.0165,-0.0064,0.0074,1.3742
163,0.001,-0.0027,0.035,1.3742
164,-0.0052,-0.0056,0.0283,1.3743
165,-0.0085,-0.0045,0.0194,1.375
166,-0.0183,-0.0096,0.0102,1.3752
167,0.0043,0.0063,0.0235,1.3753
168,-0.0079,-0.002,0.0157,1.3745
169,-0.0095,-0.0024,0.0134,1.373
170,-0.0111,-0.0037,0.0127,1.3729
171,-0.0102,-0.0034,0.014,1.3723
172,-0.011,-0.0023,0.01,1.3711
173,-0.004,-0.0014,0.0223,1.372
174,-0.0049,0.0006,0.0166,1.3722
175,-0.0129,-0.0053,0.0123,1.3717
176,-0.0154,-0.006,0.0086,1.3707
177,-0.0063,-0.0004,0.0157,1.3706
178,-0.0124,-0.0015,0.0056,1.3702
179,-0.0117,-0.0024,0.0089,1.3705
180,-0.0086,0.0037,0.0028,1.3696
181,-0.0084,-0.0037,0.0179,1.3701
182,-0.0177,-0.0069,0.0058,1.369
183,-0.016,-0.0068,0.0089,1.3689
184,-0.0088,-0.0005,0.0108,1.3689
185,-0.0074,0.0005,0.0116,1.3691
186,-0.0073,-0.0029,0.0187,1.3682
187,-0.013,-0.0043,0.0099,1.3677
188,-0.0136,-0.0021,0.0044,1.3673
189,-0.0132,-0.0032,0.0074,1.3671
190,-0.0113,0.0,0.0046,1.3677
191,-0.0082,-0.0052,0.0213,1.3667
192,-0.0126,-0.001,0.0041,1.3656
193,-0.0112,0.0007,0.0035,1.3655
194,-0.0098,-0.0041,0.016,1.3642
195,0.0089,0.0052,0.0348,1.3665
196,-0.0076,-0.002,0.0162,1.3662
197,-0.0063,0.0022,0.0103,1.3661
198,-0.0114,-0.0037,0.0119,1.3655
199,-0.0033,-0.0032,0.0271,1.3668
200,-0.0234,-0.0114,0.0033,1.3678
201,-0.0114,-0.0049,0.0142,1.3659
202,-0.0133,-0.0037,0.0082,1.3649
203,-0.0151,-0.0059,0.009,1.3662
204,-0.0111,-0.0027,0.0106,1.3659
205,0.0024,0.0017,0.0288,1.3654
206,-0.0078,-0.0046,0.0209,1.3652
207,-0.0116,-0.0024,0.009,1.365
208,-0.0186,-0.0068,0.0038,1.3653
209,-0.0096,-0.003,0.0141,1.3659
210,-0.0174,-0.0055,0.0035,1.3657
211,-0.0135,-0.0023,0.0049,1.3638
212,-0.0162,-0.0044,0.0037,1.3629
213,-0.0035,-0.0048,0.03,1.3618
214,-0.0094,-0.0036,0.0155,1.3623
