update,total_loss,policy_loss,value_loss,entropy
891,0.0175,0.0001,0.0603,1.2763
892,0.0275,-0.0004,0.0812,1.279
893,0.0028,0.0013,0.0285,1.2824
894,0.0136,-0.0006,0.0542,1.2954
895,0.048,-0.0003,0.1227,1.2981
896,0.0267,-0.0001,0.0797,1.302
897,0.0323,0.0008,0.0891,1.3024
898,0.0044,0.0005,0.0337,1.2938
899,0.0368,0.0008,0.0981,1.2971
900,-0.005,0.0027,0.0103,1.2896
901,0.0144,-0.0002,0.0546,1.2767
902,0.006,-0.0011,0.0397,1.2772
903,0.0055,-0.0006,0.0379,1.2793
904,0.0049,0.0011,0.0333,1.2813
905,0.0154,0.0024,0.0515,1.2793
906,0.0257,-0.0008,0.0786,1.2775
907,0.0074,0.0016,0.0372,1.2749
908,0.0075,0.0016,0.0373,1.2783
909,0.0061,0.0007,0.0363,1.2796
910,-0.005,0.0031,0.0093,1.2767
911,0.0079,0.0004,0.0405,1.275
912,0.0103,-0.0012,0.0487,1.2747
913,-0.0008,-0.0014,0.0266,1.2734
914,0.0079,0.0004,0.0407,1.2782
915,0.0062,0.0,0.0378,1.2752
916,0.0172,0.0,0.0598,1.2731
917,0.0055,0.0013,0.0338,1.274
918,0.0013,-0.0001,0.0283,1.2816
919,0.047,0.0002,0.1195,1.292
920,-0.0027,0.004,0.0121,1.283
921,0.002,-0.0004,0.0303,1.2703
922,0.0044,-0.0005,0.0351,1.2702
923,0.0139,0.0002,0.0528,1.2708
924,0.0098,-0.0004,0.0458,1.2762
925,-0.0002,-0.0,0.025,1.2735
926,0.02,0.0002,0.0649,1.2733
927,0.0073,-0.0005,0.0412,1.277
928,0.0033,0.001,0.0301,1.2807
929,0.0008,-0.0017,0.0305,1.2781
930,-0.0079,0.0019,0.0059,1.2772
931,0.0115,0.0006,0.047,1.2688
932,0.015,-0.0001,0.0558,1.271
933,0.0158,0.0007,0.0557,1.2717
934,0.0195,-0.0001,0.0648,1.2729
935,0.0109,-0.0003,0.0479,1.2725
936,0.004,0.0015,0.0305,1.2793
937,0.0309,0.0003,0.0869,1.2818
938,0.018,-0.0018,0.0653,1.2783
939,0.0027,-0.0007,0.0324,1.2773
940,-0.007,0.0018,0.0078,1.2711
941,0.0125,-0.0003,0.051,1.2697
942,0.008,-0.0004,0.0422,1.2708
943,0.0579,0.0008,0.1397,1.2714
944,0.0466,-0.0001,0.1193,1.2878
945,0.0396,0.0,0.1049,1.2897
946,0.0262,-0.0007,0.0796,1.2832
947,0.009,0.0016,0.0403,1.2779
948,-0.0042,0.0006,0.0161,1.2851
949,0.0437,0.0001,0.1129,1.29
950,-0.0023,-0.0013,0.0238,1.2803
951,0.0108,0.0004,0.0461,1.2695
952,0.0079,0.0011,0.039,1.2707
953,0.0096,0.0004,0.0438,1.2714
954,0.0075,0.0007,0.0393,1.2786
955,0.0497,-0.0006,0.1263,1.2833
956,0.0414,0.0,0.1085,1.2869
957,0.0096,-0.0003,0.0455,1.2829
958,-0.0011,0.0008,0.022,1.2856
959,0.0148,0.0007,0.0537,1.281
960,-0.0083,0.0016,0.0055,1.272
961,0.0183,-0.0003,0.0626,1.2689
962,0.0309,-0.0004,0.0881,1.2742
963,0.0658,0.0008,0.1556,1.283
964,0.0444,0.0003,0.1142,1.3033
965,0.0633,-0.0,0.1528,1.3071
966,0.0488,-0.001,0.1255,1.2972
967,0.0424,-0.0013,0.1131,1.283
968,0.0262,0.0002,0.0775,1.2777
969,0.0137,-0.0001,0.0533,1.2815
970,-0.0097,-0.0002,0.0066,1.2833
971,0.0248,0.0,0.0749,1.2731
972,0.0274,-0.0005,0.0813,1.2755
973,0.0093,0.0007,0.0427,1.2816
974,0.0108,0.0001,0.0474,1.3012
975,0.0775,0.0011,0.1788,1.3066
976,0.0363,0.0002,0.0986,1.3174
977,0.039,-0.0002,0.1048,1.3173
978,0.0122,0.0007,0.0492,1.3172
979,0.0706,-0.0001,0.1677,1.3134
980,0.0048,-0.0013,0.0382,1.2975
981,0.0075,-0.0008,0.042,1.2718
982,0.0104,0.0012,0.0437,1.2725
983,0.0777,-0.0011,0.1831,1.2778
984,0.0635,0.0003,0.1523,1.2957
985,0.0687,0.0007,0.1619,1.3033
986,0.0585,0.0,0.1429,1.2978
987,0.0245,0.0008,0.073,1.2784
988,0.0086,0.0022,0.0386,1.279
989,0.0182,0.0003,0.0614,1.2756
990,-0.0093,0.0004,0.0062,1.2762
991,0.0123,-0.0005,0.051,1.2718
992,0.0194,-0.0004,0.0652,1.2739
993,0.0238,-0.0006,0.0745,1.275
994,0.0138,-0.0003,0.0536,1.2741
995,0.0325,-0.0009,0.0923,1.2727
996,0.0044,-0.0006,0.0356,1.2818
997,0.0438,0.0006,0.1121,1.2817
998,0.0265,0.0001,0.0784,1.2761
999,0.0128,0.0006,0.05,1.2724
1000,-0.0029,0.0008,0.0179,1.2708
1001,0.0286,-0.0005,0.0836,1.2682
1002,0.0182,0.0003,0.0612,1.2686
1003,0.0642,0.0001,0.1537,1.2721
1004,0.0698,-0.0003,0.166,1.2924
1005,0.0306,-0.001,0.089,1.295
1006,0.0046,-0.0004,0.0359,1.2932
1007,0.0171,-0.002,0.064,1.2878
1008,0.0093,0.0018,0.0406,1.2724
1009,0.0083,-0.0002,0.0423,1.2718
1010,-0.0033,0.0029,0.0129,1.273
1011,0.0261,-0.0001,0.0778,1.2681
1012,0.018,0.0004,0.0606,1.269
1013,0.0153,0.0021,0.0518,1.268
1014,0.0177,0.0007,0.0595,1.2794
1015,0.0464,0.0001,0.1183,1.2835
1016,0.024,-0.0005,0.0745,1.2768
1017,0.0357,0.0008,0.0954,1.2756
1018,0.008,-0.0006,0.0427,1.272
1019,0.0196,-0.001,0.0667,1.2758
1020,-0.0048,0.0007,0.0144,1.2696
1021,0.0127,-0.0008,0.0522,1.2649
1022,0.0042,-0.0008,0.0354,1.2655
1023,0.0079,-0.0,0.0412,1.2663
1024,0.0131,0.0008,0.0499,1.2677
1025,0.0019,-0.0001,0.0293,1.2686
1026,0.0044,-0.0002,0.0349,1.2756
1027,0.0226,0.0019,0.067,1.2757
1028,0.0505,0.0008,0.125,1.2787
1029,0.0478,0.0008,0.1198,1.2812
1030,-0.0046,0.0009,0.0144,1.2685
1031,0.0086,-0.0001,0.0428,1.2651
1032,0.0314,0.0006,0.0869,1.2646
1033,0.0736,0.0015,0.1697,1.2735
1034,0.0615,-0.0006,0.1498,1.2793
1035,0.0376,0.0011,0.0985,1.2743
1036,0.0203,0.0015,0.0629,1.2703
1037,0.0121,0.0007,0.0484,1.2739
1038,0.0064,-0.0005,0.0394,1.27
1039,0.0212,-0.0005,0.0689,1.2732
1040,-0.0053,-0.0015,0.0177,1.2705
1041,0.0153,0.0004,0.055,1.2635
1042,0.0043,-0.0007,0.0355,1.2656
1043,0.0093,0.0004,0.0431,1.267
1044,0.0116,-0.0011,0.0509,1.2742
1045,0.0216,0.0013,0.066,1.2713
1046,0.0035,0.0001,0.0321,1.2666
1047,0.0072,0.0009,0.0379,1.2647
1048,0.0045,0.0009,0.0325,1.2686
1049,0.0155,-0.0002,0.0569,1.2713
1050,-0.0009,0.0043,0.0149,1.2656
1051,0.0034,-0.0,0.0322,1.2633
1052,0.0008,-0.0009,0.0285,1.264
1053,0.0169,0.0009,0.0573,1.2645
1054,0.006,-0.0002,0.0377,1.2657
1055,0.0078,-0.0009,0.0428,1.2668
1056,0.0007,0.0006,0.0255,1.276
1057,0.0141,0.0004,0.0529,1.2765
1058,0.0018,0.0026,0.0237,1.2667
1059,0.0013,0.0001,0.0277,1.2666
1060,-0.017,-0.0101,0.0115,1.2655
1061,0.0063,-0.0011,0.0401,1.2642
1062,0.0169,0.0008,0.0575,1.2647
1063,0.0117,-0.0002,0.0492,1.2673
1064,0.0085,-0.0004,0.0433,1.2754
1065,0.0064,0.0014,0.0355,1.2757
1066,0.0082,-0.0003,0.0425,1.2714
1067,0.0086,0.0005,0.0415,1.2708
1068,-0.0071,-0.0028,0.0169,1.2726
1069,0.024,0.001,0.0716,1.281
1070,-0.0092,-0.0016,0.0103,1.274
1071,0.0106,0.0003,0.0459,1.2622
1072,0.0084,0.001,0.04,1.2629
1073,0.0157,-0.0002,0.057,1.2617
1074,0.0139,-0.0004,0.0541,1.2687
1075,0.0059,-0.0,0.0373,1.2705
1076,0.0051,0.0003,0.0351,1.2724
1077,0.0107,0.0006,0.0455,1.267
1078,0.0046,-0.0004,0.0353,1.2665
1079,0.0059,0.0019,0.0332,1.2663
1080,-0.0138,-0.0037,0.005,1.2596
1081,0.0089,0.0007,0.0416,1.2592
1082,0.0128,0.0003,0.0501,1.2621
1083,0.0085,0.0012,0.04,1.2615
1084,-0.0032,-0.0006,0.0199,1.2609
1085,0.0006,0.0002,0.026,1.2601
1086,0.0137,-0.0005,0.0537,1.2636
1087,0.0264,-0.0008,0.0797,1.2661
1088,0.0161,-0.0,0.0577,1.2668
1089,0.0014,-0.0012,0.0305,1.2629
1090,-0.0108,-0.0021,0.0076,1.2592
1091,0.0185,-0.0006,0.0634,1.2586
1092,0.0068,0.0006,0.0375,1.2592
1093,0.0137,0.0002,0.0521,1.2581
1094,0.0063,0.0003,0.0373,1.2607
1095,0.0061,0.0019,0.0336,1.2609
1096,-0.0004,-0.0023,0.0291,1.2692
1097,0.0208,-0.0,0.067,1.2714
1098,0.0092,0.0012,0.0413,1.262
1099,-0.0001,0.0002,0.0247,1.2634
1100,-0.0044,0.0046,0.0073,1.2638
1101,0.0162,0.0004,0.0568,1.2573
1102,0.0141,-0.0002,0.0537,1.2576
1103,0.0484,-0.0002,0.1224,1.2605
1104,0.0343,-0.0007,0.0954,1.2705
1105,0.0171,0.0012,0.0572,1.2656
1106,0.0067,0.0012,0.0362,1.2608
1107,0.0136,-0.0015,0.0555,1.2629
1108,0.0043,0.0,0.0336,1.258
1109,0.0027,0.0006,0.0293,1.2562
1110,-0.0041,-0.0001,0.0172,1.2556
1111,0.0078,0.0001,0.0406,1.2577
1112,0.0148,0.0004,0.0541,1.2581
1113,0.0145,0.0015,0.0513,1.2594
1114,0.008,0.0001,0.0411,1.2639
1115,0.0425,0.0017,0.107,1.2696
1116,0.0454,0.0019,0.1125,1.2726
1117,0.0231,-0.0008,0.0733,1.2702
1118,0.0021,0.0012,0.0271,1.2699
1119,0.0364,0.0004,0.0974,1.2705
1120,-0.0039,0.0016,0.0142,1.2603
1121,0.0134,-0.0002,0.0524,1.2574
1122,0.0099,0.0008,0.0434,1.2578
1123,0.0049,-0.0006,0.0362,1.2588
1124,0.0072,-0.0002,0.04,1.259
1125,0.0205,0.0006,0.065,1.2586
1126,0.0061,-0.0006,0.0386,1.2588
1127,0.0245,-0.0015,0.0774,1.2617
1128,0.0046,0.0028,0.0286,1.2578
1129,-0.0016,-0.0007,0.0233,1.2577
1130,0.0003,0.006,0.0139,1.2579
1131,0.0145,-0.0005,0.0551,1.2558
1132,0.0293,0.001,0.0818,1.2575
1133,0.016,-0.0003,0.0578,1.2572
1134,0.001,-0.0005,0.0282,1.2582
1135,-0.0002,-0.0004,0.0256,1.2569
1136,0.004,-0.0001,0.0335,1.2604
1137,0.0133,0.0007,0.0506,1.2606
1138,0.0088,-0.0008,0.0445,1.2624
1139,0.0388,0.0003,0.1021,1.2606
1140,0.0041,0.0028,0.0279,1.2614
1141,0.0098,-0.0003,0.0453,1.2524
1142,0.0081,0.0005,0.0405,1.2561
1143,0.002,0.0005,0.0282,1.2568
